word,pos,vector
maximize,VB,94
longterm,JJ,94
productivity,NN,94
smart,JJ,95
notebook,NN,95
recognize,VB,95
handwriting,NN,95
add,VB,95
come,VBZ,95
good,JJ,95
idea,NNS,95
assistant,NN,96
talk,VB,96
everyday,JJ,96
conversation,NN,96
bounce,VB,96
idea,NNS,96
portable,JJ,97
laptop,JJ,97
stand,NN,97
work,VB,97
be,VBP,97
portable,JJ,99
screen,NN,99
be,VBZ,99
computer,NN,99
screen,NN,99
Portable,JJ,100
desk,NN,100
be,VBZ,100
stable,JJ,100
bumpy,NN,100
ride,NNS,100
way,NN,101
have,VB,101
portable,JJ,101
wifi,NNS,101
wifi,NN,101
be,VBZ,101
unreliablenonexistent,JJ,101
commutting,VBG,101
way,NN,102
silence,VB,102
noise,NN,102
video,NN,102
call,NN,102
people,NNS,102
hear,VB,102
speak,VB,102
app,NN,103
tell,VBZ,103
trivia,JJ,103
question,NNS,103
area,NN,103
be,VBP,103
travel,VBG,103
game,NN,104
be,VB,104
use,VBN,104
other,JJ,104
people,NNS,104
area,NN,104
play,VB,104
competition,NN,104
base,VBN,104
game,NN,104
room,NNS,105
public,JJ,105
transportation,NN,105
vehicle,NNS,105
mean,VBP,105
study,VBG,105
people,NNS,105
audio,NN,106
flashcard,NNS,106
u,NN,106
be,VBP,106
ask,VBN,106
question,NN,106
reply,VB,106
collaborative,JJ,107
work,VBG,107
environment,NN,107
idea,NN,107
facilitate,NN,107
find,VBG,107
travel,NN,107
study,NN,107
buddy,NNS,107
study,VBG,107
same,JJ,107
type,NN,107
material,NN,107
take,VBG,107
same,JJ,107
commuting,NN,107
route,NN,107
poke,NN,108
stoplike,NN,108
device,NNS,108
activist,NNS,108
specific,JJ,108
field,NN,108
device,NNS,108
collect,VB,108
fun,NN,108
fact,NNS,108
u,JJ,108
spin,VB,108
review,VB,108
thing,NNS,108
pokemon,NN,109
go,VBP,109
gym,NN,109
u,JJ,109
compete,VB,109
people,NNS,109
study,VBG,109
same,JJ,109
thing,NN,109
similar,JJ,109
trivia,VB,109
crack,NN,109
specialized,JJ,109
material,NN,109
be,VB,109
class,NN,109
u,NN,109
go,VB,109
random,JJ,109
select,VB,109
specific,JJ,109
topic,NN,109
collaboration,NN,109
khan,NN,109
academy,NN,109
create,VB,110
feature,NN,110
disable,VBZ,110
notification,NNS,110
apps,NN,110
machine,NN,110
store,NNS,110
phone,NN,110
people,NNS,110
work,VBP,110
sound,JJ,111
silencer,NN,111
headphone,NNS,111
worker,NN,111
wear,VB,111
public,JJ,111
space,NNS,111
be,VB,111
distract,VBN,111
outside,JJ,111
noise,NN,111
work,VBG,111
side,NN,112
upper,JJ,112
flat,NNS,112
deploy,VBP,112
content,NN,112
person,NN,112
be,VBZ,112
work,VBG,112
be,VBZ,112
sensitiveconfidential,JJ,112
outside,JJ,112
eye,NNS,112
peak,VB,112
content,NNS,112
wearable,JJ,113
technology,NN,113
let,VB,113
user,NN,113
know,VBP,113
be,VBP,113
get,VBG,113
stress,VBN,113
work,NN,113
take,VB,113
break,NN,113
work,VBG,113
neckshoulder,JJ,114
massage,NN,114
machine,NN,114
give,VB,114
massage,NN,114
everytime,VBZ,114
user,JJ,114
get,VBZ,114
tense,VBN,114
work,VBG,114
computer,NN,114
day,NN,114
make,VBZ,114
experience,NN,114
light,JJ,115
control,NN,115
machine,NN,115
change,VBZ,115
light,VBG,115
setup,NN,115
room,NN,115
people,NNS,115
work,VBP,115
match,VB,115
hour,NNS,115
day,NN,115
person,NN,115
do,VBZ,115
have,VB,115
natural,JJ,115
sunlight,VBN,115
light,NNS,115
match,NN,115
hour,NNS,115
day,NN,115
prompt,VB,115
user,NN,115
take,VB,115
breakseat,NN,115
know,VB,115
time,NN,115
fly,VBG,115
folding,NN,124
desk,NN,124
be,VB,124
collapse,VBN,124
use,NN,124
instal,VBG,125
wireless,JJ,125
router,NN,125
access,NN,125
point,NN,125
portable,JJ,125
desk,NN,125
audio,JJ,148
device,NN,148
use,VBZ,148
synthesizesummarize,VB,148
notification,NNS,148
loud,NN,148
regular,JJ,148
interval,NNS,148
min,NNS,148
user,NN,148
kick,VB,148
habit,NN,148
check,VBG,148
phone,NN,148
glassesheadset,VBD,149
give,VB,149
user,NN,149
signal,NNS,149
peripheral,NNS,149
be,VB,149
aware,JJ,149
danger,NN,149
surroundings,NNS,149
focus,VBN,149
work,NN,149
mobile,JJ,149
environment,NN,149
tangible,JJ,150
interface,NN,150
planner,NN,150
have,VBZ,150
user,NNS,150
break,VBP,150
task,NNS,150
microtasks,NNS,150
move,VBG,150
break,VBG,150
piece,NNS,150
be,VB,150
build,VBN,150
make,VBN,150
mobile,JJ,151
collapsible,JJ,151
lap,NN,151
desk,NN,151
commuter,NNS,151
carry,VB,151
expand,VB,151
trainsubway,NN,151
have,VBZ,151
organization,NN,151
planning,NN,151
techfunctionality,NN,151
type,NN,152
jacketsweater,NN,152
respond,VB,152
indooroutdoor,VB,152
temperature,NN,152
change,NNS,152
Wristbands,NNS,153
heart,NN,153
rate,NN,153
monitor,NNS,153
acupressure,NN,153
anxiety,NN,153
relief,NN,153
wearable,JJ,154
interface,NN,154
track,VBZ,154
vitals,NNS,154
ie,JJ,154
heart,NN,154
rate,NN,154
open,VBZ,154
app,NN,154
set,NN,154
check,NN,154
routine,NN,154
detect,VBZ,154
high,JJ,154
level,NNS,154
ie,VBP,154
open,VBZ,154
grounding,NN,154
exercise,NN,154
app,NN,154
detect,VBZ,154
ur,JJ,154
heart,NN,154
rate,NN,154
be,VBZ,154
increase,VBN,154
Wearable,JJ,155
interface,NN,155
ie,NN,155
locket,NN,155
allow,VBZ,155
user,NNS,155
take,VB,155
photo,NN,155
day,NN,155
upload,NN,155
photo,NN,155
show,VBZ,155
user,NNS,155
locket,VBP,155
wearable,JJ,156
interface,NN,156
sync,VBZ,156
app,NN,156
allow,VBZ,156
easy,JJ,156
convenient,JJ,156
tracking,NN,156
habit,NNS,156
mood,NN,156
base,VBN,156
reminder,NNS,156
toy,NN,157
be,VB,157
convert,VBN,157
multiple,JJ,157
form,NNS,157
have,VBZ,157
weight,NNS,157
sensor,NNS,157
put,VBD,157
visible,JJ,157
tactile,JJ,157
input,NN,157
response,NN,157
Interactive,JJ,158
art,NN,158
therapy,NN,158
board,NN,158
allow,VBZ,158
people,NNS,158
sync,VB,158
app,NN,158
track,VB,158
journal,JJ,158
entry,NNS,158
mood,NN,158
be,VB,158
send,VBN,158
contact,JJ,158
parent,NN,158
therapist,NN,158
wearable,JJ,159
user,NNS,159
go,VB,159
nonverbal,JJ,159
trigger,VBZ,159
notification,NN,159
people,NNS,159
have,VBZ,159
visible,JJ,159
alert,NN,159
indicate,VBG,159
theyve,NN,159
go,VBN,159
nonverbal,JJ,159
prompt,VBZ,160
user,NNS,160
connect,VB,160
videoaudio,NN,160
call,NN,160
random,JJ,160
time,NNS,160
day,NN,160
foster,VB,160
feeling,NNS,160
togetherness,NN,160
bottle,NN,161
light,VBZ,161
certain,JJ,161
point,NNS,161
day,NN,161
remind,VB,161
user,NNS,161
drink,VB,161
water,NN,161
Wearable,JJ,162
jacketvest,NN,162
vibrate,VBZ,162
simulate,VB,162
massage,NN,162
sensation,NNS,162
be,VB,163
wear,VBN,163
love,VBN,163
one,NNS,163
share,NN,163
emotion,NNS,163
day,NN,163
Device,NN,164
sense,VB,164
stress,NN,164
heartbeat,NN,164
release,VB,164
calm,VBG,164
scent,NNS,164
Interactive,JJ,165
screen,NN,165
show,VBZ,165
real,JJ,165
time,NN,165
occupant,JJ,165
capacity,NN,165
bus,NNS,165
Scents,NNS,166
spray,NNS,166
reduce,VBZ,166
nausea,NN,166
chair,NNS,167
table,NNS,167
Voice,NN,168
assistant,NNS,168
collaborative,JJ,168
communication,NN,168
Stabilized,VBN,169
bathroom,NNS,169
reduce,VB,170
nausea,NN,170
workspace,NN,170
Wearable,JJ,171
haptics,NNS,171
allow,VBP,171
nausea,NN,171
reduction,NN,171
pair,NN,173
augmented,JJ,173
reality,NN,173
glass,NNS,173
detect,VBP,173
sign,NNS,173
nausea,NN,173
motion,NN,173
sickness,NN,173
provide,VB,173
realtime,JJ,173
advice,NN,173
reduce,VB,173
symptom,NNS,173
necklace,NN,174
have,VBZ,174
pendant,NNS,174
vibrate,VBP,174
sync,NN,174
other,JJ,174
pendant,NNS,174
use,VBP,174
wireless,JJ,174
technology,NN,174
connect,VB,174
people,NNS,174
heart,NN,174
rate,NN,174
pulse,NN,174
bracelet,NN,175
use,VBZ,175
haptic,JJ,175
technology,NN,175
send,VB,175
vibration,NNS,175
mimic,VBP,175
other,JJ,175
person,NNS,175
heartbeat,VBP,175
bracelet,NN,175
have,VBZ,175
sensor,NNS,175
allow,VBP,175
people,NNS,175
feel,VB,175
others,NNS,175
heartbeats,VBP,175
device,NN,176
use,VBZ,176
sound,JJ,176
wave,NNS,176
send,VB,176
person,NNS,176
